ID,Acronym,Allen Level 1 Tissue,Allen Level 2 Tissue,Allen Level 3 Tissue,Allen Level 4 Tissue,Allen Level 5 Tissue,Allen Level 6 Tissue,Allen Level 7 Tissue,Allen Level 8 Tissue,Allen Level 9 Tissue,Tissue with gene expression,Mapped GTEx tissue
4097,SPL,,,,,,,"supraparietal lobule, Left",,,0,
4098,SPL-s,,,,,,,,"supraparietal lobule, Left, superior bank of gyrus",,1,
4099,SPL-i,,,,,,,,"supraparietal lobule, Left, inferior bank of gyrus",,1,
4132,TL,,,,,Temporal Lobe,,,,,0,
4156,FuG,,,,,,fusiform gyrus,,,,0,
4157,FuG,,,,,,,"fusiform gyrus, Left",,,0,
4158,FuG-its,,,,,,,,"fusiform gyrus, Left, bank of the its",,1,
4160,FuG-cos,,,,,,,,"fusiform gyrus, Left, bank of cos",,1,
4165,HG,,,,,,Heschl's gyrus,,,,0,
4166,HG,,,,,,,"Heschl's gyrus, Left",,,1,
4147,ITG,,,,,,inferior temporal gyrus,,,,0,
4148,ITG,,,,,,,"inferior temporal gyrus, Left",,,0,
4149,ITG-its,,,,,,,,"inferior temporal gyrus, Left, bank of the its",,1,
4150,ITG-l,,,,,,,,"inferior temporal gyrus, Left, lateral bank of gyrus",,1,
4151,ITG-mts,,,,,,,,"inferior temporal gyrus, Left, bank of mts",,1,
4140,MTG,,,,,,middle temporal gyrus,,,,0,
4141,MTG,,,,,,,"middle temporal gyrus, Left",,,0,
4142,MTG-s,,,,,,,,"middle temporal gyrus, Left, superior bank of gyrus",,1,
4143,MTG-i,,,,,,,,"middle temporal gyrus, Left, inferior bank of gyrus",,1,
4177,PLP,,,,,,planum polare,,,,0,
4178,PLP,,,,,,,"planum polare, Left",,,1,
4133,STG,,,,,,superior temporal gyrus,,,,0,
4134,STG,,,,,,,"superior temporal gyrus, Left",,,0,
4135,STG-l,,,,,,,,"superior temporal gyrus, Left, lateral bank of gyrus",,1,
4136,STG-i,,,,,,,,"superior temporal gyrus, Left, inferior bank of gyrus",,1,
4275,CxN,,,,Cerebral Nuclei,,,,,,0,
4327,Amg,,,,,Amygdala,,,,,0,Amygdala
4328,ATZ,,,,,,Amygdaloid Transition Zone,,,,0,Amygdala
4329,ATZ,,,,,,,"Amygdaloid Transition zone, Left",,,1,Amygdala
4341,BLA,,,,,,Basolateral Nucleus,,,,0,Amygdala
4342,BLA,,,,,,,"Basolateral Nucleus, Left",,,1,Amygdala
4350,BMA,,,,,,Basomedial Nucleus,,,,0,Amygdala
4351,BMA,,,,,,,"Basomedial nucleus, Left",,,1,Amygdala
4359,CeA,,,,,,Central Nucleus,,,,0,Amygdala
4360,CeA,,,,,,,"Central Nucleus, Left",,,1,Amygdala
4366,COMA,,,,,,Cortico-medial group,,,,0,Amygdala
4367,COMA,,,,,,,"Cortico-medial group, Left",,,1,Amygdala
4378,LA,,,,,,Lateral Nucleus,,,,0,Amygdala
4379,LA,,,,,,,"Lateral Nucleus, Left",,,1,Amygdala
4276,BG,,,,,Basal Ganglia,,,,,0,
4293,GP,,,,,,Globus Pallidus,,,,0,
